type:,Year,transmission:,odometer:,Model,VIN:,fuel:,drive:,Price,title status:,cylinders:,paint color:,condition:
SUV,2009,automatic,265000," lexus rx 350
",,gas,fwd,5700,clean,6 cylinders,grey,excellent
SUV,2016,automatic,113608," Dodge Journey JC SE
",3C4PDCAB4GT247877,gas,fwd,6495,clean,4 cylinders,red,excellent
,2006,automatic,235000," toyota camry
",,gas,,2900,clean,,,good
coupe,1963,manual,58000," Chevrolet Impala
",,gas,rwd,63000,clean,8 cylinders,red,excellent
pickup,2008,automatic,171000," chevrolet silverado
",,gas,,7800,clean,,,
sedan,2011,automatic,178000," honda accord
",,gas,fwd,3800,clean,6 cylinders,black,excellent
hatchback,2016,automatic,108000," hyundai veloster
",,gas,,2250,clean,4 cylinders,black,excellent
convertible,2011,automatic,67000," ford mustang
",,gas,rwd,21850,clean,8 cylinders,black,excellent
hatchback,2011,manual,106000," ford fiesta se
",,gas,fwd,3999,clean,4 cylinders,blue,excellent
pickup,2009,automatic,230000," Ford F250 XL
",,gas,,5900,clean,8 cylinders,,
,1993,automatic,1000," Ford Mustang
",,other,rwd,85000,missing,8 cylinders,green,good
,2000,automatic,1000," Ford Mustang
",,gas,,100000,missing,,,
coupe,2014,automatic,118541," hyundai veloster
",,gas,,5500,clean,4 cylinders,white,excellent
coupe,2012,automatic,140000," nissan altima
",,gas,fwd,4500,clean,4 cylinders,white,like new
coupe,2004,automatic,93000," ford mustang v6
",,gas,rwd,4500,clean,6 cylinders,,good
,1967,manual,99999," chevy nova
",,gas,,40000,clean,,,excellent
SUV,2013,automatic,126000," toyota venza xle
",,gas,,3150,parts only,4 cylinders,grey,fair
SUV,2013,automatic,150000," dodge journey
",,gas,fwd,2500,clean,6 cylinders,grey,fair
,1979,automatic,82000," pontiac firebird trans am ws6
",,gas,,29900,clean,,,excellent
sedan,2014,automatic,151292," Ford Taurus SEL
",1FAHP2E85EG127310,gas,fwd,5900,clean,6 cylinders,silver,excellent
,1969,manual,999," Chevrolet Nova
",,gas,,59900,clean,,,
sedan,2005,automatic,162287," ford taurus
",,gas,fwd,1995,clean,6 cylinders,red,fair
SUV,2005,manual,98761," Jeep Wrangler TJ
",,gas,4wd,8000,clean,6 cylinders,green,good
truck,2014,automatic,600000," international prostar
",,diesel,,13500,clean,,,
hatchback,2007,automatic,170000," toyota prius
",,hybrid,fwd,3000,clean,4 cylinders,blue,excellent
pickup,2018,automatic,165000," chevy silverado 1500
",,gas,,14600,clean,,,
hatchback,2008,automatic,180000," PT Cruiser
",,gas,fwd,1100,clean,4 cylinders,grey,good
convertible,2018,automatic,67320," Mercedes Benz C300 Convertible
",,gas,,26500,clean,4 cylinders,grey,excellent
pickup,1991,automatic,166000," ford f-350
",,gas,rwd,15250,clean,8 cylinders,purple,excellent
pickup,2006,automatic,200000," ford f350
",,gas,,3200,clean,,,
pickup,2004,automatic,164000," ford f-150 supercrew shortbox
",,gas,4wd,6000,clean,8 cylinders,silver,excellent
sedan,2013,automatic,150000," mazda 3
",,gas,,4500,clean,4 cylinders,,like new
,2010,automatic,170000," ford fusion
",,gas,,3250,clean,,,
minivan,2005,automatic,187000," toyota sienna ce
",,gas,,4200,clean,6 cylinders,white,good
coupe,2008,automatic,228000," infiniti g35
",,gas,rwd,3800,clean,6 cylinders,,good
van,2022,automatic,70000," chrysler voyager
",,gas,fwd,43000,clean,6 cylinders,white,excellent
coupe,2015,automatic,113000," bmw 435i xdrive
",,gas,,6950,clean,,,
pickup,2003,automatic,160000," dodge ram 1500
",,gas,,6500,rebuilt,,,
,2011,automatic,195," ford focus
",,gas,rwd,2350,clean,4 cylinders,,excellent
offroad,2007,automatic,163000," dodge ram 1500
",,gas,4wd,6000,clean,8 cylinders,black,good
sedan,2015,automatic,68000," toyota corolla
",,gas,fwd,9550,rebuilt,4 cylinders,grey,excellent
sedan,2018,automatic,88000," toyota yaris ia
",,gas,fwd,10800,clean,4 cylinders,black,excellent
coupe,2018,automatic,29550," chevy camaro ss
",,gas,rwd,34200,clean,8 cylinders,white,like new
SUV,2017,automatic,129000," bmw x5 sdrive35i
",,diesel,rwd,13795,clean,6 cylinders,black,like new
,1979,automatic,89000," pontiac firebird trans am
",,gas,,34900,clean,,,excellent
SUV,2021,automatic,39000," Subaru Ascent
",4S4WMAJDXM3437851,gas,4wd,17700,rebuilt,4 cylinders,white,
SUV,2022,automatic,32000," Toyota RAV4 XLE
",2T3RWRFV9NW141990,hybrid,4wd,22700,rebuilt,4 cylinders,grey,excellent
pickup,2022,automatic,47000," Toyota Tacoma SR5
",3TMCZ5AN3NM499312,gas,4wd,20800,rebuilt,6 cylinders,black,excellent
SUV,2021,automatic,32100," Ford Expedition XLT
",1FMJU1HT8MEA83856,gas,rwd,19800,rebuilt,6 cylinders,silver,excellent
coupe,2007,automatic,213351," honda accord
",,gas,,4200,clean,4 cylinders,,
pickup,2019,automatic,30100," Ford Ranger
",1FTER1EH7KLA98168,gas,rwd,14700,rebuilt,4 cylinders,white,excellent
convertible,2002,automatic,113000," FORD THUNDERBIRD HARD TOP CONVERTIBLE
",,gas,,12999,clean,,,excellent
convertible,2005,automatic,117000," CHRSLER CROSSFIRE LIMITED ROADSTER
",,gas,,7499,clean,,,excellent
sedan,2012,automatic,78000," SUBARU LEGACY 2.5 LIMITED
",,gas,4wd,10999,clean,4 cylinders,blue,excellent
sedan,2013,automatic,81000," volvo s60 T5 4door sedan
",,gas,,10999,clean,4 cylinders,red,like new
coupe,1938,manual,55000," Plymouth Coupe
",,gas,rwd,11000,clean,6 cylinders,custom,fair
SUV,2013,automatic,161803," ford edge sel
",,gas,,6750,clean,4 cylinders,custom,good
sedan,2000,automatic,148030," mercury grand marquis
",,gas,rwd,3500,clean,8 cylinders,blue,excellent
coupe,1966,manual,240," Corvette Coupe
",,gas,rwd,139900,clean,8 cylinders,blue,like new
convertible,1949,manual,1000," Willys
",,gas,4wd,47000,clean,6 cylinders,blue,excellent
pickup,2017,other,188023," chevy silverado 2500hd
",,gas,rwd,16500,clean,,,excellent
pickup,2019,automatic,140232," ford f250 4x4
",,diesel,4wd,25900,clean,,,like new
pickup,2019,automatic,200324," ford f350 4x4
",,diesel,4wd,25500,clean,,,like new
pickup,2018,automatic,170222," ford f150
",,gas,fwd,10900,clean,6 cylinders,,like new
pickup,2017,automatic,170232," chevy silverado 3500hd 4x4
",,diesel,4wd,24900,clean,,,good
pickup,2015,automatic,160343," gmc sierra 2500hd
",,gas,4wd,18900,clean,,,like new
pickup,2017,automatic,180131," chevy silverado 2500hd 4x4
",,diesel,4wd,24500,clean,,,like new
,2013,automatic,180367," chevy silverado 3500hd 4x4
",,diesel,4wd,18500,clean,,,like new
,2021,automatic,120364," ford f150 xlt
",,gas,4wd,24900,clean,8 cylinders,,like new
,2018,automatic,160257," chevy silverado 2500hd
",,gas,rwd,18900,clean,8 cylinders,,excellent
minivan,2008,automatic,107000," Kia Sedona
",,gas,,3900,clean,,,excellent
pickup,2018,automatic,249888," Ram 2500 Big horn
",3C6UR5JL0JG202581,diesel,4wd,25000,clean,6 cylinders,white,excellent
pickup,2024,automatic,7244," ford f450 super duty
",,diesel,4wd,109900,lien,8 cylinders,blue,like new
SUV,2008,automatic,101730," honda cr-v
",,gas,fwd,8500,clean,4 cylinders,black,good
truck,2000,manual,800000," Mack
",,diesel,,27000,clean,,,good
sedan,2007,automatic,186000," Acura TL
",,gas,,3500,clean,,,
pickup,2002,automatic,211000," chevrolet silverado
",,gas,,8500,clean,,,
hatchback,2012,automatic,180000," scion tc
",,gas,fwd,2500,clean,4 cylinders,silver,salvage
sedan,2013,automatic,196000," kia rio
",,gas,,2200,rebuilt,,white,good
,1966,other,10000," chevrolet malibu
",136,gas,,15000,clean,,,good
SUV,2018,automatic,74804," Kia Soul BASE
",KNDJN2A29J7580391,gas,,7600,clean,4 cylinders,silver,like new
hatchback,2004,manual,155000," hyundai accent
",,gas,fwd,2400,clean,4 cylinders,silver,good
sedan,2015,automatic,154000," subaru impreza
",,gas,4wd,8000,clean,4 cylinders,black,like new
pickup,2023,automatic,15132," Ford Maverick
",,gas,fwd,25500,clean,4 cylinders,red,like new
hatchback,2008,manual,129000," volvo c30 t5
",,gas,,6500,clean,,,good
